1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
256	-1.474936	12.729246	0.004232	26.9
257	-1.483728	12.704350	0.004491	27.0
258	-1.499708	12.679583	0.004358	29.4
259	-1.477398	12.654945	0.004350	26.9
260	-1.479988	12.630433	0.004373	27.2
261	-1.474004	12.606047	0.004477	27.2
262	-1.485954	12.581786	0.004120	31.0
263	-1.504548	12.557649	0.004248	28.4
264	-1.472304	12.533635	0.004402	30.1
265	-1.505688	12.509742	0.004316	26.8
266	-1.493600	12.485971	0.004376	27.2
267	-1.471638	12.462319	0.004030	27.1
268	-1.469819	12.438786	0.004122	26.9
269	-1.506223	12.415371	0.004419	26.7
270	-1.473385	12.392073	0.004224	27.3
271	-1.499139	12.368891	0.004375	28.4
272	-1.478826	12.345824	0.004356	27.0
273	-1.478728	12.322871	0.004359	28.0
274	-1.505744	12.300031	0.004246	27.2
275	-1.487211	12.277304	0.004213	26.6
276	-1.484163	12.254688	0.004294	27.4
277	-1.500453	12.232182	0.004221	26.8
278	-1.503287	12.209786	0.004257	26.9
279	-1.471030	12.187499	0.004149	43.7
280	-1.473140	12.165320	0.004351	26.8
281	-1.470705	12.143248	0.004260	27.9
282	-1.496148	12.121282	0.004065	26.9
283	-1.488379	12.099422	0.004444	26.4
284	-1.494050	12.077666	0.004319	27.0
285	-1.470582	12.056014	0.004538	27.6
286	-1.493006	12.034465	0.004270	26.7
287	-1.501273	12.013018	0.004533	26.8
288	-1.508016	11.991673	0.004415	27.0
289	-1.510390	11.970428	0.004304	27.3
290	-1.486668	11.949283	0.004156	26.7
291	-1.490864	11.928237	0.004186	26.7
292	-1.505879	11.907290	0.004222	26.8
293	-1.479942	11.886440	0.004357	27.2
294	-1.480571	11.865687	0.004098	26.9
295	-1.484364	11.845030	0.004307	27.0
296	-1.482100	11.824469	0.004016	30.4
297	-1.508036	11.804002	0.004119	28.4
298	-1.513286	11.783630	0.004353	30.6
299	-1.497574	11.763350	0.004312	26.8
300	-1.507585	11.743163	0.004140	26.6
301	-1.487806	11.723069	0.004331	27.7
302	-1.491079	11.703065	0.004179	27.0
303	-1.507862	11.683152	0.004091	27.8
304	-1.490204	11.663329	0.004043	27.2
305	-1.494934	11.643595	0.004344	28.5
306	-1.519386	11.623950	0.004418	27.4
307	-1.483999	11.604392	0.004103	27.1
308	-1.490947	11.584923	0.004029	27.5
309	-1.485442	11.565539	0.004029	26.8
310	-1.476888	11.546242	0.004163	27.0
311	-1.491107	11.527030	0.004315	27.3
312	-1.498761	11.507903	0.004229	26.9
313	-1.503508	11.488861	0.004106	31.7
314	-1.484485	11.469901	0.003939	26.9
315	-1.502826	11.451025	0.004298	32.6
316	-1.488204	11.432232	0.004009	26.8
317	-1.493420	11.413520	0.004095	27.0
318	-1.504228	11.394890	0.004210	26.8
319	-1.487396	11.376340	0.004091	26.6
320	-1.514013	11.357870	0.004292	27.0
321	-1.477344	11.339480	0.004047	27.4
322	-1.508113	11.321169	0.004207	26.7
323	-1.497705	11.302936	0.004092	27.1
324	-1.495172	11.284782	0.004034	26.7
325	-1.492456	11.266705	0.004186	26.9
326	-1.506808	11.248704	0.004220	27.1
327	-1.489091	11.230780	0.004071	26.9
328	-1.485307	11.212932	0.003930	27.1
329	-1.492353	11.195159	0.004059	26.5
330	-1.476944	11.177461	0.003838	30.0
331	-1.475314	11.159837	0.004378	26.7
332	-1.517711	11.142287	0.004108	27.0
333	-1.496682	11.124810	0.004079	28.5
334	-1.510182	11.107406	0.004147	27.1
335	-1.487823	11.090074	0.004093	26.9
336	-1.483731	11.072814	0.004169	27.2
337	-1.491320	11.055625	0.003838	26.8
338	-1.506490	11.038507	0.004091	27.7
339	-1.494114	11.021459	0.004114	27.9
340	-1.486666	11.004481	0.004249	28.1
341	-1.511088	10.987573	0.004123	27.2
342	-1.491960	10.970734	0.004057	26.6
343	-1.502545	10.953963	0.004211	27.2
344	-1.498858	10.937260	0.004073	27.3
345	-1.501156	10.920625	0.004095	27.6
346	-1.505987	10.904057	0.004232	27.0
347	-1.502164	10.887556	0.003912	30.8
348	-1.500385	10.871120	0.004022	26.9
349	-1.483553	10.854751	0.004063	27.0
350	-1.496058	10.838448	0.004214	29.1
351	-1.505985	10.822209	0.004199	27.2
352	-1.490053	10.806035	0.004036	27.1
353	-1.499697	10.789925	0.004108	27.0
354	-1.495055	10.773878	0.004212	26.8
355	-1.484658	10.757895	0.003989	27.1
356	-1.498536	10.741975	0.003921	26.7
357	-1.511531	10.726118	0.004004	26.6
358	-1.500190	10.710323	0.004125	27.0
359	-1.493586	10.694589	0.003955	26.7
360	-1.497750	10.678917	0.004061	26.6
361	-1.517845	10.663306	0.004117	26.7
362	-1.493570	10.647755	0.004025	27.2
363	-1.490154	10.632265	0.004095	26.7
364	-1.499638	10.616834	0.003805	30.4
365	-1.501971	10.601463	0.003960	26.7
366	-1.494941	10.586151	0.004014	28.5
367	-1.518679	10.570898	0.003932	29.9
368	-1.515398	10.555703	0.004088	26.8
369	-1.509181	10.540566	0.004126	26.8
370	-1.490605	10.525486	0.003878	26.7
371	-1.493018	10.510464	0.004043	27.3
372	-1.503484	10.495499	0.003863	26.7
