1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
242	-1.061881	165.808277	2.760692	0.003383	20.0
243	-1.061452	165.795082	2.760887	0.007473	19.5
244	-1.053084	165.781410	2.761089	0.014879	19.4
245	-1.047758	165.767736	2.761291	0.007189	20.1
246	-1.051855	166.767736	2.746586	0.005233	19.7
247	-1.048495	167.767679	2.732036	0.015065	23.1
248	-1.047712	168.767679	2.717640	0.002167	21.4
249	-1.044528	168.924324	2.715398	0.009716	19.3
250	-1.049987	168.910651	2.715594	0.004856	22.9
251	-1.050193	169.910462	2.701372	0.007670	19.7
252	-1.061484	169.897021	2.701562	0.007321	19.4
253	-1.051037	170.897021	2.687484	0.006805	20.3
254	-1.040560	170.883347	2.687675	0.001415	19.7
255	-1.050796	170.879978	2.687723	0.008291	19.6
256	-1.052885	170.900610	2.687434	0.005503	19.9
257	-1.058358	171.900609	2.673502	0.013371	20.1
258	-1.046786	172.900609	2.659714	0.008211	19.9
259	-1.046652	173.900609	2.646067	0.012869	19.9
260	-1.049060	173.886935	2.646253	0.012127	19.8
261	-1.052752	174.886935	2.632744	0.007484	19.5
262	-1.054759	175.886935	2.619372	0.004349	19.6
263	-1.054140	175.873307	2.619553	0.003494	19.5
264	-1.049511	175.988883	2.618017	0.014209	19.6
265	-1.051624	175.986530	2.618048	0.009467	19.6
266	-1.050624	176.986525	2.604824	0.007932	19.7
267	-1.055428	177.986521	2.591734	0.008904	19.8
268	-1.050017	178.778858	2.581455	0.007604	19.8
269	-1.046710	178.765184	2.581632	0.005764	21.4
270	-1.053595	179.765136	2.568773	0.005416	20.0
271	-1.052835	179.751462	2.568948	0.010900	20.2
272	-1.049561	179.737788	2.569123	0.010205	23.9
273	-1.061569	180.737788	2.556388	0.011271	20.1
274	-1.054101	180.724114	2.556562	0.008414	19.6
275	-1.052568	181.724114	2.543951	0.007616	19.6
276	-1.044998	181.710440	2.544122	0.008530	19.7
277	-1.052366	181.696766	2.544294	0.005123	20.7
278	-1.047671	182.695653	2.531817	0.005291	20.1
279	-1.053594	182.682011	2.531987	0.011360	20.1
280	-1.054246	183.682011	2.519616	0.003931	19.4
281	-1.055211	183.668392	2.519784	0.002209	20.3
282	-1.053058	183.672755	2.519730	0.008736	22.0
283	-1.041040	184.615789	2.508174	0.006731	21.0
284	-1.065842	185.615738	2.496035	0.009454	19.8
285	-1.061074	185.602065	2.496200	0.009789	19.5
286	-1.055440	186.602065	2.484176	0.008636	19.4
287	-1.054299	186.588390	2.484340	0.002491	20.0
288	-1.048523	186.574759	2.484503	0.015288	19.4
